Order_ID;Order_Date;Ship_Date;Ship_Mode;Customer_Name;Segment;Country;City;State;Region;Product_ID;Category;Sub_Category;Product_Name;Sales;Quantity;Discount;Profit
CA-2015-146262;43102;43109;Standard Class;Angela Merkel;Corporate;United States;Medina;Ohio;East;TEC-PH-10002844;Mass-market;Crossbody;PACK OF 6 HANDBAG GIFT BOXES;62,98;3;0,4;14,7
CA-2015-146263;43102;43109;Standard Class;Christine Lagarde;Corporate;United States;Medina;Ohio;East;TEC-MA-10000864;Premium;Bookcases;JUMBO BAG WOODLAND ANIMALS;1188;9;0,7;9555,4
CA-2015-146264;43102;43109;Standard Class;Kamala Harris;Corporate;United States;Medina;Ohio;East;FUR-BO-10004695;Luxe;Hobo;BAG 125g SWIRLY MARBLES;452,45;5;0,5;244,32
CA-2015-146265;43102;43109;Standard Class;Ursula von der Leyen;Corporate;United States;Medina;Ohio;East;TEC-AC-10000109;Mass-market;Classic;LUNCH BAG CARS BLUE;89,58;2;0,2;4,48
CA-2015-146266;43102;43109;Standard Class;Melinda Gates;Corporate;United States;Medina;Ohio;East;OFF-LA-10004544;Mass-market;Classic;LUNCH BAG WOODLAND;23,68;2;0,2;8,88
CA-2015-146267;43102;43104;Second Class;Mary Barra;Corporate;United States;Newark;Delaware;East;OFF-PA-10004285;Mass-market;Tote;WOODLAND CHARLOTTE BAG;20,04;3;0;9,62
CA-2015-146268;43102;43104;Second Class;Nancy Pelosi;Corporate;United States;Newark;Delaware;East;OFF-ST-10001837;Mass-market;Classic;RETROSPOT PClutchY BAG + STICKER SET;85,52;2;0;22,24
CA-2015-146269;43102;43104;Second Class;Ana Patricia Botín;Corporate;United States;Newark;Delaware;East;OFF-AR-10001473;Mass-market;Crossbody;WOODLAND DESIGN  COTTON TOTE BAG;9,84;3;0;2,66
CA-2015-146270;43103;43108;Second Class;Abigail Johnson;Consumer;United States;Dallas;Texas;Central;FUR-BO-10003272;Luxe;Messenger;SKULLS  DESIGN  COTTON TOTE BAG;1352,4;9;0,32;437,54
CA-2015-146271;43103;43108;Second Class;Gail Boudreaux;Consumer;United States;Dallas;Texas;Central;TEC-AC-10003198;Mass-market;Classic;LUNCH BAG RED RETROSPOT;398,4;5;0,2;84,66
CA-2015-146272;43103;43108;Second Class;Carol Tomé;Consumer;United States;Dallas;Texas;Central;OFF-AR-10001246;Mass-market;Wristlet;LUNCH BAG WOODLAND;7,06;3;0,2;55,79
CA-2015-146273;43103;43108;Standard Class;Emma Walmsley;Corporate;United States;Baytown;Texas;Central;OFF-PA-10001937;Mass-market;Wallet;LUNCH BAG RED RETROSPOT;10,37;2;0,2;3,63
CA-2015-146274;43104;43110;Standard Class;Susan Wojcicki;Corporate;United States;Woodbury;Minnesota;Central;OFF-PA-10004082;Mass-market;Classic;LUNCH BAG CARS BLUE;39,9;5;0;19,95
CA-2015-146275;43104;43110;Standard Class;Julie Sweet;Corporate;United States;Woodbury;Minnesota;Central;OFF-BI-10003676;Mass-market;Kiset;LUNCH BAG WOODLAND;32,34;3;0;15,52
CA-2015-146276;43104;43109;Standard Class;Safra Catz;Corporate;United States;Alexandria;Virginia;South;FUR-FU-10001473;Mass-market;Tote;LUNCH BAG SUKI DESIGN ;192,22;14;0;69,2
CA-2015-146277;43105;43110;Standard Class;Ruth Porat;Home Office;United States;Seattle;Washington;West;FUR-CH-10003396;Mass-market;Kiset;WOODLAND DESIGN  COTTON TOTE BAG;61,58;1;0,2;6,93
CA-2015-146278;43105;43110;Standard Class;Judith McKenna;Corporate;United States;New York City;New York;East;OFF-BI-10004506;Mass-market;Crossbody;LUNCH BAG RED RETROSPOT;13,17;2;0,2;4,61
CA-2015-146279;43105;43110;Standard Class;Kristalina Georgieva;Home Office;United States;San Francisco;California;West;OFF-BI-10001294;Mass-market;Tote;AIRLINE BAG VINTAGE JET SET RED;56,16;6;0,2;17,55
CA-2015-146280;43105;43110;Standard Class;Martina Merz;Corporate;United States;New York City;New York;East;OFF-AR-10001615;Mass-market;Tote;RED RETROSPOT PICNIC BAG;59,52;3;0;15,48
CA-2015-146281;43105;43110;Standard Class;Oprah Winfrey;Corporate;United States;New York City;New York;East;OFF-EN-10000461;Mass-market;Classic;JUMBO Crossbody BAG SUKI;17,48;2;0;8,22
CA-2015-146282;43105;43110;Standard Class;Jessica Tan;Home Office;United States;San Francisco;California;West;OFF-AP-10004859;Mass-market;Sutchel;JUMBO BAG SPACEBOY DESIGN;87,36;6;0;23,59
CA-2015-146283;43106;43112;Standard Class;Sheryl Sandberg;Corporate;United States;Colorado Springs;Colorado;West;OFF-BI-10002764;Mass-market;Crossbody;LUNCH BAG WOODLAND;1,94;2;0,7;1,36
CA-2015-146284;43106;43112;Standard Class;Jane Fraser;Corporate;United States;Colorado Springs;Colorado;West;OFF-PA-10004041;Luxe;Hobo;RED FLORAL FELTCRAFT SHOULDER BAG;29,6;5;0,2;9,25
CA-2015-146285;43109;43113;Standard Class;Shari Redstone;Consumer;United States;Henderson;Kentucky;South;OFF-PA-10000474;Mass-market;Tote;PINK FLORAL FELTCRAFT SHOULDER BAG;106,32;3;0;49,97
CA-2015-146286;43109;43113;Standard Class;Nicke Widyawati;Consumer;United States;Henderson;Kentucky;South;OFF-PA-10004996;Mass-market;Bucket;LUNCH BAG SPACEBOY DESIGN ;51,55;5;0;24,23
CA-2015-146287;43109;43113;Standard Class;Amanda Blanc;Consumer;United States;Henderson;Kentucky;South;OFF-AR-10004691;Mass-market;Classic;LUNCH BAG DOLLY GIRL DESIGN;42,76;2;0;11,12
CA-2015-146288;43109;43113;Standard Class;Phebe Novakovic;Consumer;United States;Henderson;Kentucky;South;OFF-AP-10001205;Mass-market;Tote;STRAWBERRY   PICNIC BAG;163,44;3;0;45,76
CA-2015-146289;43110;43115;Standard Class;Amy Hood;Consumer;United States;New York City;New York;East;FUR-TA-10001889;Luxe;Baguette;RED RETROSPOT PICNIC BAG;1018,1;4;0,4;373,3
CA-2015-146290;43112;43117;Standard Class;Shemara Wikramanayake;Corporate;United States;Toledo;Ohio;East;TEC-PH-10004977;Luxe;Baguette;LUNCH BAG RED RETROSPOT;235,19;2;0,4;43,12
CA-2015-146291;43112;43117;Standard Class;Ho Ching;Corporate;United States;Toledo;Ohio;East;TEC-PH-10000912;Luxe;Hobo;LUNCH BAG WOODLAND;26,38;4;0,4;2,64
CA-2015-146292;43112;43117;Standard Class;Jessica Uhl;Corporate;United States;Toledo;Ohio;East;TEC-PH-10002262;Luxe;Hobo;RED RETROSPOT PICNIC BAG;107,12;3;0,4;21,42
CA-2015-146293;43112;43117;Standard Class;Jacinda Ardern;Corporate;United States;Toledo;Ohio;East;TEC-AC-10000487;Mass-market;Crossbody;LUNCH BAG SPACEBOY DESIGN ;10,38;2;0,2;2,21
CA-2015-146294;43112;43117;Standard Class;Adena Friedman;Corporate;United States;Toledo;Ohio;East;OFF-AR-10001374;Mass-market;Crossbody;SAVE THE PLANET COTTON TOTE BAG;10,37;2;0,2;1,56
CA-2015-146295;43112;43118;Standard Class;Joey Wat;Corporate;United States;Newark;Delaware;East;OFF-ST-10002615;Mass-market;Clutch;SUKI  SHOULDER BAG;465,18;3;0;1255,95
