Order_ID;Order_Date;Ship_Date;Ship_Mode;Customer_Name;Segment;Country;City;State;Region;Product_ID;Category;Sub_Category;Product_Name;Sales;Quantity;Discount;Profit
CA-2015-146262;02.01.2018;09.01.2018;Standard Class;Angela Merkel;Corporate;United States;Medina;Ohio;East;TEC-PH-10002844;Mass-market;Crossbody;PACK OF 6 HANDBAG GIFT BOXES;62,98;3;0,4;14,7
CA-2015-146263;02.01.2018;09.01.2018;Standard Class;Christine Lagarde;Corporate;United States;Medina;Ohio;East;TEC-MA-10000864;Premium;Bookcases;JUMBO BAG WOODLAND ANIMALS;1188;9;0,7;9555,4
CA-2015-146264;02.01.2018;09.01.2018;Standard Class;Kamala Harris;Corporate;United States;Medina;Ohio;East;FUR-BO-10004695;Luxe;Hobo;BAG 125g SWIRLY MARBLES;452,45;5;0,5;244,32
CA-2015-146265;02.01.2018;09.01.2018;Standard Class;Ursula von der Leyen;Corporate;United States;Medina;Ohio;East;TEC-AC-10000109;Mass-market;Classic;LUNCH BAG CARS BLUE;89,58;2;0,2;4,48
CA-2015-146266;02.01.2018;09.01.2018;Standard Class;Melinda Gates;Corporate;United States;Medina;Ohio;East;OFF-LA-10004544;Mass-market;Classic;LUNCH BAG WOODLAND;23,68;2;0,2;8,88
CA-2015-146267;02.01.2018;04.01.2018;Second Class;Mary Barra;Corporate;United States;Newark;Delaware;East;OFF-PA-10004285;Mass-market;Tote;WOODLAND CHARLOTTE BAG;20,04;3;0;9,62
CA-2015-146268;02.01.2018;04.01.2018;Second Class;Nancy Pelosi;Corporate;United States;Newark;Delaware;East;OFF-ST-10001837;Mass-market;Classic;RETROSPOT PClutchY BAG + STICKER SET;85,52;2;0;22,24
CA-2015-146269;02.01.2018;04.01.2018;Second Class;Ana Patricia Botín;Corporate;United States;Newark;Delaware;East;OFF-AR-10001473;Mass-market;Crossbody;WOODLAND DESIGN  COTTON TOTE BAG;9,84;3;0;2,66
CA-2015-146270;03.01.2018;08.01.2018;Second Class;Abigail Johnson;Consumer;United States;Dallas;Texas;Central;FUR-BO-10003272;Luxe;Messenger;SKULLS  DESIGN  COTTON TOTE BAG;1352,4;9;0,32;437,54
CA-2015-146271;03.01.2018;08.01.2018;Second Class;Gail Boudreaux;Consumer;United States;Dallas;Texas;Central;TEC-AC-10003198;Mass-market;Classic;LUNCH BAG RED RETROSPOT;398,4;5;0,2;84,66
